team,games,sos,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,tov
Davidson,32.0,3.30,70.06,67.94,40.62,24.47,56.75,0.01,7.34,23.41,13.78,18.81,9.22,10.56
Dayton NCAA,33.0,5.73,74.18,66.45,40.15,25.18,53.09,0.01,9.39,23.55,14.42,19.48,8.03,10.39
Delaware,33.0,-4.30,73.21,69.67,40.15,27.0,58.09,0.01,6.88,20.55,12.33,17.45,9.21,10.79
Delaware State,34.0,-7.58,70.62,71.03,40.74,25.03,57.68,0.01,4.65,14.53,15.91,22.53,11.32,14.79
Denver,34.0,-4.82,81.03,80.5,40.74,27.82,61.85,0.01,8.65,24.85,16.74,22.91,10.24,10.0
DePaul,32.0,10.80,64.72,81.75,40.0,22.66,53.56,0.01,6.25,18.66,13.16,17.94,7.28,13.59
Detroit Mercy,32.0,-2.62,65.97,80.25,40.31,23.78,56.44,0.01,5.84,20.81,12.56,17.09,8.94,13.34
Drake NCAA,35.0,1.84,79.91,70.37,41.0,28.34,59.4,0.01,8.57,23.4,14.66,19.46,7.94,9.63
Drexel,32.0,-3.64,73.31,66.56,40.47,26.91,58.94,0.01,6.75,19.62,12.75,17.66,11.53,10.81
Duke NCAA,36.0,8.36,78.61,66.31,40.0,27.89,58.67,0.01,8.28,21.97,14.56,20.14,10.64,9.69
Duquesne NCAA,37.0,4.68,70.57,66.68,40.0,24.89,57.03,0.01,7.54,22.19,13.24,18.41,10.51,11.7
East Carolina,33.0,1.32,69.3,70.27,40.3,24.33,57.67,0.01,6.61,21.09,14.03,20.27,11.91,10.85
East Tennessee State,35.0,-2.74,71.49,69.57,40.14,24.74,60.89,0.01,7.77,25.03,14.23,20.86,13.89,12.37
East Texas A&M,33.0,-5.19,71.55,74.61,41.36,25.12,60.48,0.01,8.73,27.94,12.58,17.94,9.58,11.67
Eastern Illinois,32.0,-6.50,68.88,67.88,40.0,25.69,60.97,0.01,5.59,17.5,11.91,16.28,10.91,10.34
Eastern Kentucky,31.0,-4.49,80.77,76.48,40.16,29.58,64.29,0.01,7.84,21.87,13.77,20.26,13.23,11.48
Eastern Michigan,31.0,-5.07,66.03,72.65,40.48,25.26,58.87,0.01,5.74,18.87,9.77,14.65,10.35,11.65
Eastern Washington,32.0,-2.99,80.81,75.22,40.16,27.94,55.72,0.02,8.53,23.41,16.41,21.28,8.06,13.19
Elon,32.0,-5.46,73.09,75.41,40.0,25.75,57.75,0.01,8.59,24.41,13.0,18.38,10.34,11.84
Evansville,35.0,0.75,70.89,73.2,40.29,26.14,58.37,0.01,6.77,20.14,11.83,16.49,7.71,11.6
Fairfield,37.0,-6.53,75.51,70.97,40.0,26.78,60.03,0.01,9.24,25.49,12.7,16.76,9.95,10.65
FDU,32.0,-9.27,75.94,77.56,40.31,26.34,62.88,0.01,8.38,25.38,14.88,21.25,11.38,12.75
Florida NCAA,36.0,8.81,85.56,79.19,40.69,29.92,65.31,0.01,7.78,22.56,17.94,25.08,14.64,11.67
Florida A&M,29.0,-4.19,67.21,77.24,40.69,25.07,57.9,0.01,5.86,17.07,11.21,16.0,9.59,15.24
Florida Atlantic NCAA,34.0,4.61,82.03,73.38,40.88,29.18,61.0,0.01,8.35,23.82,15.32,21.29,11.65,11.41
Florida Gulf Coast,32.0,-3.94,70.41,71.12,40.16,25.84,56.78,0.01,7.81,22.0,10.91,15.69,9.88,11.34
Florida International,33.0,-2.17,73.61,76.52,40.15,26.73,61.18,0.01,8.61,25.45,11.55,17.24,10.42,13.67
Florida State,33.0,9.27,76.55,76.3,40.15,27.36,60.45,0.01,6.06,19.09,15.76,22.27,10.18,11.88
